"prompt","answer"
"What courses will I take in first year first semester of Automotive Engineering?","In the first year first semester of Automotive Engineering, you will study:

First Year - First Semester (Fall) - Compulsory Courses:
CHM101, General Chemistry, Credit:4, ECTS:5, Prerequisite: None, Class:3, LAB:2, Practical:0, PS:0, C:2, R:2, T:1
ENG101, English I, Credit:3, ECTS:3, Prerequisite: None, Class:0, LAB:0, Practical:0, PS:0, C:1, R:1, T:1
MTH101, Mathematics I, Credit:4, ECTS:6, Prerequisite: None, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0
ECC103, Engineering Drawing I, Credit:3, ECTS:3, Prerequisite: None, Class:2, LAB:0, Practical:2, PS:0, C:1, R:1, T:2
PHY101, General Physics I, Credit:4, ECTS:6, Prerequisite: None, Class:3, LAB:2, Practical:0, PS:2, C:1, R:1, T:0
AUE100, Orientation, Credit:0, ECTS:1, Prerequisite: None, Class:2, LAB:0, Practical:0, PS:0, C:1, R:1, T:0
TUR101/YIT101, Turkish Language I for Turkish Students/Turkish I for Foreign Students, Credit:2, ECTS:2, Prerequisite: None, Class:2, LAB:0, Practical:0, PS:0, C:2, R:0, T:1

Total Semester: Credit:20, ECTS:26"
"List the first year first semester courses for Automotive Engineering","In the first year first semester of Automotive Engineering, you will study:

First Year - First Semester (Fall) - Compulsory Courses:
CHM101, General Chemistry, Credit:4, ECTS:5, Prerequisite: None, Class:3, LAB:2, Practical:0, PS:0, C:2, R:2, T:1
ENG101, English I, Credit:3, ECTS:3, Prerequisite: None, Class:0, LAB:0, Practical:0, PS:0, C:1, R:1, T:1
MTH101, Mathematics I, Credit:4, ECTS:6, Prerequisite: None, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0
ECC103, Engineering Drawing I, Credit:3, ECTS:3, Prerequisite: None, Class:2, LAB:0, Practical:2, PS:0, C:1, R:1, T:2
PHY101, General Physics I, Credit:4, ECTS:6, Prerequisite: None, Class:3, LAB:2, Practical:0, PS:2, C:1, R:1, T:0
AUE100, Orientation, Credit:0, ECTS:1, Prerequisite: None, Class:2, LAB:0, Practical:0, PS:0, C:1, R:1, T:0
TUR101/YIT101, Turkish Language I for Turkish Students/Turkish I for Foreign Students, Credit:2, ECTS:2, Prerequisite: None, Class:2, LAB:0, Practical:0, PS:0, C:2, R:0, T:1

Total Semester: Credit:20, ECTS:26"
"What courses will I take in first year second semester of Automotive Engineering?","In the first year second semester of Automotive Engineering, you will study:

First Year - Second Semester (Spring) - Compulsory Courses:
ECC101, Introduction to Computers and Programming, Credit:3, ECTS:7, Prerequisite: None, Class:4, LAB:1, Practical:0, PS:3, C:1, R:1, T:0
ENG102, English II, Credit:3, ECTS:3, Prerequisite: ENG101, Class:0, LAB:0, Practical:0, PS:0, C:1, R:1, T:1
MTH102, Mathematics II, Credit:4, ECTS:6, Prerequisite: MTH101, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0
ECC013, Engineering Drawing II, Credit:3, ECTS:6, Prerequisite: ECC103, Class:2, LAB:0, Practical:2, PS:0, C:1, R:1, T:2
TUR102/YIT102, Turkish Language II for Turkish Students/Turkish II for Foreign Students, Credit:2, ECTS:2, Prerequisite: TUR101/YIT101, Class:2, LAB:0, Practical:0, PS:0, C:2, R:0, T:1
PHY102, General Physics II, Credit:4, ECTS:6, Prerequisite: PHY101, Class:3, LAB:2, Practical:0, PS:2, C:1, R:1, T:0

Total Semester: Credit:19, ECTS:30"
"List the first year second semester courses for Automotive Engineering","In the first year second semester of Automotive Engineering, you will study:

First Year - Second Semester (Spring) - Compulsory Courses:
ECC101, Introduction to Computers and Programming, Credit:3, ECTS:7, Prerequisite: None, Class:4, LAB:1, Practical:0, PS:3, C:1, R:1, T:0
ENG102, English II, Credit:3, ECTS:3, Prerequisite: ENG101, Class:0, LAB:0, Practical:0, PS:0, C:1, R:1, T:1
MTH102, Mathematics II, Credit:4, ECTS:6, Prerequisite: MTH101, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0
ECC013, Engineering Drawing II, Credit:3, ECTS:6, Prerequisite: ECC103, Class:2, LAB:0, Practical:2, PS:0, C:1, R:1, T:2
TUR102/YIT102, Turkish Language II for Turkish Students/Turkish II for Foreign Students, Credit:2, ECTS:2, Prerequisite: TUR101/YIT101, Class:2, LAB:0, Practical:0, PS:0, C:2, R:0, T:1
PHY102, General Physics II, Credit:4, ECTS:6, Prerequisite: PHY101, Class:3, LAB:2, Practical:0, PS:2, C:1, R:1, T:0

Total Semester: Credit:19, ECTS:30"
"What courses will I take in second year first semester of Automotive Engineering?","In the second year first semester of Automotive Engineering, you will study:

Second Year - First Semester (Fall) - Compulsory Courses:
MTH201, Ordinary Differential Equations, Credit:4, ECTS:6, Prerequisite: MTH102, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0
ECC211, Engineering Materials, Credit:3, ECTS:5, Prerequisite: None, Class:4, LAB:0, Practical:0, PS:1, C:2, R:1, T:0
ECC206, Statics, Credit:3, ECTS:5, Prerequisite: PHY101, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0
ECC207, Thermodynamics I, Credit:3, ECTS:5, Prerequisite: None, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0
AIT101/AIT103, Ataturk's Principles and Reforms for Students I, Credit:2, ECTS:2, Prerequisite: None, Class:2, LAB:0, Practical:0, PS:0, C:2, R:0, T:1
ENG201, English III, Credit:3, ECTS:3, Prerequisite: ENG102, Class:3, LAB:0, Practical:0, PS:0, C:1, R:1, T:1

Total Semester: Credit:18, ECTS:26"
"List the second year first semester courses for Automotive Engineering","In the second year first semester of Automotive Engineering, you will study:

Second Year - First Semester (Fall) - Compulsory Courses:
MTH201, Ordinary Differential Equations, Credit:4, ECTS:6, Prerequisite: MTH102, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0
ECC211, Engineering Materials, Credit:3, ECTS:5, Prerequisite: None, Class:4, LAB:0, Practical:0, PS:1, C:2, R:1, T:0
ECC206, Statics, Credit:3, ECTS:5, Prerequisite: PHY101, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0
ECC207, Thermodynamics I, Credit:3, ECTS:5, Prerequisite: None, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0
AIT101/AIT103, Ataturk's Principles and Reforms for Students I, Credit:2, ECTS:2, Prerequisite: None, Class:2, LAB:0, Practical:0, PS:0, C:2, R:0, T:1
ENG201, English III, Credit:3, ECTS:3, Prerequisite: ENG102, Class:3, LAB:0, Practical:0, PS:0, C:1, R:1, T:1

Total Semester: Credit:18, ECTS:26"
"What courses will I take in second year second semester of Automotive Engineering?","In the second year second semester of Automotive Engineering, you will study:

Second Year - Second Semester (Spring) - Compulsory Courses:
AUE205, Basic Electricity & Electronics, Credit:3, ECTS:5, Prerequisite: PHY102, Class:3, LAB:0, Practical:0, PS:2, C:1, R:0, T:0
MTH214, Mathematics for Engineers, Credit:3, ECTS:5, Prerequisite: MTH101, Class:3, LAB:0, Practical:0, PS:2, C:1, R:1, T:0
ECC209, Manufacturing Technology I, Credit:3, ECTS:4, Prerequisite: None, Class:4, LAB:0, Practical:2, PS:2, C:2, R:0, T:2
ECC212, Dynamics, Credit:3, ECTS:4, Prerequisite: PHY101, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0
ECC208, Thermodynamics II, Credit:3, ECTS:5, Prerequisite: ECC207, Class:3, LAB:0, Practical:0, PS:2, C:1, R:1, T:0
ECC213, Strength of Materials I, Credit:3, ECTS:4, Prerequisite: ECC206, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0
AIT102/AIT104, Ataturk's Principles and Reforms for Students II, Credit:2, ECTS:2, Prerequisite: AIT101/AIT103, Class:2, LAB:0, Practical:0, PS:0, C:2, R:0, T:1
AUE200, Workshop Training (2 Weeks), Credit:0, ECTS:1, Prerequisite: None, Class:0, LAB:0, Practical:0, PS:0, C:0, R:0, T:0

Total Semester: Credit:20, ECTS:30"
"List the second year second semester courses for Automotive Engineering","In the second year second semester of Automotive Engineering, you will study:

Second Year - Second Semester (Spring) - Compulsory Courses:
AUE205, Basic Electricity & Electronics, Credit:3, ECTS:5, Prerequisite: PHY102, Class:3, LAB:0, Practical:0, PS:2, C:1, R:0, T:0
MTH214, Mathematics for Engineers, Credit:3, ECTS:5, Prerequisite: MTH101, Class:3, LAB:0, Practical:0, PS:2, C:1, R:1, T:0
ECC209, Manufacturing Technology I, Credit:3, ECTS:4, Prerequisite: None, Class:4, LAB:0, Practical:2, PS:2, C:2, R:0, T:2
ECC212, Dynamics, Credit:3, ECTS:4, Prerequisite: PHY101, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0
ECC208, Thermodynamics II, Credit:3, ECTS:5, Prerequisite: ECC207, Class:3, LAB:0, Practical:0, PS:2, C:1, R:1, T:0
ECC213, Strength of Materials I, Credit:3, ECTS:4, Prerequisite: ECC206, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0
AIT102/AIT104, Ataturk's Principles and Reforms for Students II, Credit:2, ECTS:2, Prerequisite: AIT101/AIT103, Class:2, LAB:0, Practical:0, PS:0, C:2, R:0, T:1
AUE200, Workshop Training (2 Weeks), Credit:0, ECTS:1, Prerequisite: None, Class:0, LAB:0, Practical:0, PS:0, C:0, R:0, T:0

Total Semester: Credit:20, ECTS:30"
"What courses will I take in third year first semester of Automotive Engineering?","In the third year first semester of Automotive Engineering, you will study:

Third Year - First Semester (Fall) - Compulsory Courses:
ECC304, Fluid Mechanics I, Credit:4, ECTS:7, Prerequisite: ECC212, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0
ECC307, Machine Design I, Credit:4, ECTS:6, Prerequisite: ECC213, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0
AUE305, Introduction to Automotive Engineering, Credit:3, ECTS:6, Prerequisite: None, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0
ECC305, Manufacturing Technology II, Credit:3, ECTS:5, Prerequisite: ECC209, Class:4, LAB:0, Practical:2, PS:3, C:2, R:1, T:0
ECC306, Heat Transfer I, Credit:3, ECTS:6, Prerequisite: ECC207, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0

Total Semester: Credit:17, ECTS:30"
"List the third year first semester courses for Automotive Engineering","In the third year first semester of Automotive Engineering, you will study:

Third Year - First Semester (Fall) - Compulsory Courses:
ECC304, Fluid Mechanics I, Credit:4, ECTS:7, Prerequisite: ECC212, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0
ECC307, Machine Design I, Credit:4, ECTS:6, Prerequisite: ECC213, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0
AUE305, Introduction to Automotive Engineering, Credit:3, ECTS:6, Prerequisite: None, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0
ECC305, Manufacturing Technology II, Credit:3, ECTS:5, Prerequisite: ECC209, Class:4, LAB:0, Practical:2, PS:3, C:2, R:1, T:0
ECC306, Heat Transfer I, Credit:3, ECTS:6, Prerequisite: ECC207, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0

Total Semester: Credit:17, ECTS:30"
"What courses will I take in third year second semester of Automotive Engineering?","In the third year second semester of Automotive Engineering, you will study:

Third Year - Second Semester (Spring) - Compulsory Courses:
MTH323, Numerical Analysis, Credit:3, ECTS:6, Prerequisite: MTH102, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0
ECC309, Theory of Machines I, Credit:3, ECTS:5, Prerequisite: ECC212, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0
ECC308, Machine Design II, Credit:4, ECTS:5, Prerequisite: ECC207, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0
ECC310, Control Systems, Credit:3, ECTS:5, Prerequisite: MTH201, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0
AUE306, Vehicle Component Design, Credit:3, ECTS:6, Prerequisite: ECC307, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0
AUE300, Industrial Training (6 Weeks), Credit:0, ECTS:3, Prerequisite: None, Class:0, LAB:0, Practical:0, PS:0, C:0, R:0, T:0

Total Semester: Credit:16, ECTS:30"
"List the third year second semester courses for Automotive Engineering","In the third year second semester of Automotive Engineering, you will study:

Third Year - Second Semester (Spring) - Compulsory Courses:
MTH323, Numerical Analysis, Credit:3, ECTS:6, Prerequisite: MTH102, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0
ECC309, Theory of Machines I, Credit:3, ECTS:5, Prerequisite: ECC212, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0
ECC308, Machine Design II, Credit:4, ECTS:5, Prerequisite: ECC207, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0
ECC310, Control Systems, Credit:3, ECTS:5, Prerequisite: MTH201, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0
AUE306, Vehicle Component Design, Credit:3, ECTS:6, Prerequisite: ECC307, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0
AUE300, Industrial Training (6 Weeks), Credit:0, ECTS:3, Prerequisite: None, Class:0, LAB:0, Practical:0, PS:0, C:0, R:0, T:0

Total Semester: Credit:16, ECTS:30"
"What courses will I take in fourth year first semester of Automotive Engineering?","In the fourth year first semester of Automotive Engineering, you will study:

Fourth Year - First Semester (Fall) - Compulsory Courses:
AUE401, Vehicle Dynamics, Credit:3, ECTS:4, Prerequisite: ECC212, Class:3, LAB:0, Practical:0, PS:2, C:1, R:1, T:0
AUE403, Vehicle Body Design, Credit:3, ECTS:4, Prerequisite: AUE306, Class:3, LAB:0, Practical:0, PS:2, C:1, R:1, T:0
ECC424, Experimental Analysis of Mechanical Engineering Systems, Credit:3, ECTS:5, Prerequisite: None, Class:2, LAB:2, Practical:0, PS:1, C:2, R:1, T:0
ECC425, Internal Combustion Engines, Credit:3, ECTS:5, Prerequisite: ECC208, Class:3, LAB:0, Practical:0, PS:2, C:1, R:1, T:0
ECC439, Occupational Health and Safety I, Credit:2, ECTS:4, Prerequisite: None
TE, Technical Elective, Credit:3, ECTS:4, Prerequisite: None
TE, Technical Elective, Credit:3, ECTS:4, Prerequisite: None

Total Semester: Credit:20, ECTS:30"
"List the fourth year first semester courses for Automotive Engineering","In the fourth year first semester of Automotive Engineering, you will study:

Fourth Year - First Semester (Fall) - Compulsory Courses:
AUE401, Vehicle Dynamics, Credit:3, ECTS:4, Prerequisite: ECC212, Class:3, LAB:0, Practical:0, PS:2, C:1, R:1, T:0
AUE403, Vehicle Body Design, Credit:3, ECTS:4, Prerequisite: AUE306, Class:3, LAB:0, Practical:0, PS:2, C:1, R:1, T:0
ECC424, Experimental Analysis of Mechanical Engineering Systems, Credit:3, ECTS:5, Prerequisite: None, Class:2, LAB:2, Practical:0, PS:1, C:2, R:1, T:0
ECC425, Internal Combustion Engines, Credit:3, ECTS:5, Prerequisite: ECC208, Class:3, LAB:0, Practical:0, PS:2, C:1, R:1, T:0
ECC439, Occupational Health and Safety I, Credit:2, ECTS:4, Prerequisite: None
TE, Technical Elective, Credit:3, ECTS:4, Prerequisite: None
TE, Technical Elective, Credit:3, ECTS:4, Prerequisite: None

Total Semester: Credit:20, ECTS:30"
"What courses will I take in fourth year second semester of Automotive Engineering?","In the fourth year second semester of Automotive Engineering, you will study:

Fourth Year - Second Semester (Spring) - Compulsory Courses:
AUE400, Graduation Project, Credit:3, ECTS:6, Prerequisite: None
AUE404, Vehicle Production & Systems, Credit:3, ECTS:4, Prerequisite: ECC209, ECC305
ECC440, Occupational Health and Safety II, Credit:2, ECTS:4, Prerequisite: ECC439
TE, Technical Elective, Credit:3, ECTS:4, Prerequisite: None
TE, Technical Elective, Credit:3, ECTS:4, Prerequisite: None
RNTE, Restricted Non-Technical Elective, Credit:3, ECTS:5, Prerequisite: None
FNTE, Free Non-Technical Elective, Credit:3, ECTS:3, Prerequisite: None

Total Semester: Credit:20, ECTS:30

Program Total: Credit:150, ECTS:240"
