prompt,messages,category
List the fourth year first semester courses for Ai Engineering,"[{""content"": ""List the fourth year first semester courses for Ai Engineering"", ""role"": ""user""}, {""content"": ""In the fourth year first semester of Ai Engineering, you will study:\n\nFourth Year - First Semester Courses (Year Four or 4 First Semester - Final Year First Semester - Fall):\nAIE401, Introduction to Robotics, Credit 3, ECTS 7\nAIE403, Computer Vision, Credit 3, ECTS 7\nAIE491, Senior Project I, Credit 3, ECTS 6\nTechnical Elective, Credit 3, ECTS 5\nTechnical Elective, Credit 3, ECTS 5"", ""role"": ""assistant""}]",Curriculum
What courses will I take in fourth year second semester of Ai Engineering?,"[{""content"": ""What courses will I take in fourth year second semester of Ai Engineering?"", ""role"": ""user""}, {""content"": ""In the fourth year second semester of Ai Engineering, you will study:\n\nFourth Year - Second Semester Courses (Year Four or 4 Second Semester - Final Year Second Semester - Spring):\nAII429, Engineering Ethics, Credit 3, ECTS 6\nAIE492, Senior Project II, Credit 4, ECTS 7\nAIE402, Speech Processing, Credit 3, ECTS 7\nTechnical Elective, Credit 3, ECTS 5\nTechnical Elective, Credit 3, ECTS 5"", ""role"": ""assistant""}]",Course Information
List the fourth year second semester courses for Ai Engineering,"[{""content"": ""List the fourth year second semester courses for Ai Engineering"", ""role"": ""user""}, {""content"": ""In the fourth year second semester of Ai Engineering, you will study:\n\nFourth Year - Second Semester Courses (Year Four or 4 Second Semester - Final Year Second Semester - Spring):\nAII429, Engineering Ethics, Credit 3, ECTS 6\nAIE492, Senior Project II, Credit 4, ECTS 7\nAIE402, Speech Processing, Credit 3, ECTS 7\nTechnical Elective, Credit 3, ECTS 5\nTechnical Elective, Credit 3, ECTS 5"", ""role"": ""assistant""}]",Curriculum
What career opportunities are available after graduating from Ai Engineering?,"[{""content"": ""What career opportunities are available after graduating from Ai Engineering?"", ""role"": ""user""}, {""content"": ""Career Opportunities for AI Engineering Graduates:\nAI Engineer\nMachine Learning Engineer\nData Scientist\nRobotics Engineer\nComputer Vision Engineer\nNatural Language Processing Specialist\nAI Researcher\nIntelligent Systems Developer"", ""role"": ""assistant""}]",Career Information
What jobs can I get with a Ai Engineering degree?,"[{""content"": ""What jobs can I get with a Ai Engineering degree?"", ""role"": ""user""}, {""content"": ""Career Opportunities for AI Engineering Graduates:\nAI Engineer\nMachine Learning Engineer\nData Scientist\nRobotics Engineer\nComputer Vision Engineer\nNatural Language Processing Specialist\nAI Researcher\nIntelligent Systems Developer"", ""role"": ""assistant""}]",Career Information
What can I do after graduating from Ai Engineering?,"[{""content"": ""What can I do after graduating from Ai Engineering?"", ""role"": ""user""}, {""content"": ""Career Opportunities for AI Engineering Graduates:\nAI Engineer\nMachine Learning Engineer\nData Scientist\nRobotics Engineer\nComputer Vision Engineer\nNatural Language Processing Specialist\nAI Researcher\nIntelligent Systems Developer"", ""role"": ""assistant""}]",Career Information
What elective courses are available in the Ai Engineering program?,"[{""content"": ""What elective courses are available in the Ai Engineering program?"", ""role"": ""user""}, {""content"": ""The Ai Engineering program offers the following elective courses:\n\nFourth Year - First Semester Courses (Year Four or 4 First Semester - Final Year First Semester - Fall):\nAIE401, Introduction to Robotics, Credit 3, ECTS 7\nAIE403, Computer Vision, Credit 3, ECTS 7\nAIE491, Senior Project I, Credit 3, ECTS 6\nTechnical Elective, Credit 3, ECTS 5\nTechnical Elective, Credit 3, ECTS 5"", ""role"": ""assistant""}]",Course Information
Tell me about elective courses for Ai Engineering,"[{""content"": ""Tell me about elective courses for Ai Engineering"", ""role"": ""user""}, {""content"": ""The Ai Engineering program offers the following elective courses:\n\nFourth Year - First Semester Courses (Year Four or 4 First Semester - Final Year First Semester - Fall):\nAIE401, Introduction to Robotics, Credit 3, ECTS 7\nAIE403, Computer Vision, Credit 3, ECTS 7\nAIE491, Senior Project I, Credit 3, ECTS 6\nTechnical Elective, Credit 3, ECTS 5\nTechnical Elective, Credit 3, ECTS 5"", ""role"": ""assistant""}]",Course Information
What are the focus areas of Ai Engineering?,"[{""content"": ""What are the focus areas of Ai Engineering?"", ""role"": ""user""}, {""content"": ""Artificial Intelligence Engineering Program Overview:\nBachelor's Degree program focusing on AI technologies, machine learning, robotics, and intelligent systems.\nCombines computer science fundamentals with specialized AI courses.\nIncludes practical training and senior projects.\nPrepares students for careers in AI development, research, and implementation."", ""role"": ""assistant""}]",Program Information
What specializations does Ai Engineering offer?,"[{""content"": ""What specializations does Ai Engineering offer?"", ""role"": ""user""}, {""content"": ""Artificial Intelligence Engineering Program Overview:\nBachelor's Degree program focusing on AI technologies, machine learning, robotics, and intelligent systems.\nCombines computer science fundamentals with specialized AI courses.\nIncludes practical training and senior projects.\nPrepares students for careers in AI development, research, and implementation."", ""role"": ""assistant""}]",Program Information
Tell me about the Automotive Engineering program at Near East University.,"[{""content"": ""Tell me about the Automotive Engineering program at Near East University."", ""role"": ""user""}, {""content"": ""FACULTY OF ENGINEERING\nDEPARTMENT OF AUTOMOTIVE ENGINEERING\nBachelor of Science in Automotive Engineering\n\nProgram Duration: 4 years (8 semesters)\nDegree: Bachelor of Science\nTotal ECTS for Graduation: 240\nTotal Credits: 150\n\nMain website: https://muhendislik.neu.edu.tr/?lang=en\nCurriculum link: https://muhendislik.neu.edu.tr/academic/academic-programmes/department-of-automotive-engineering/?lang=en\n\nLegend:\nPS = Problem Solving\nC = Complementary\nR = Reformative\nT = Tutorial\nLAB = Laboratory Hours\nPractical = Practical Hours"", ""role"": ""assistant""}]",Program Information
What is the Automotive Engineering program?,"[{""content"": ""What is the Automotive Engineering program?"", ""role"": ""user""}, {""content"": ""FACULTY OF ENGINEERING\nDEPARTMENT OF AUTOMOTIVE ENGINEERING\nBachelor of Science in Automotive Engineering\n\nProgram Duration: 4 years (8 semesters)\nDegree: Bachelor of Science\nTotal ECTS for Graduation: 240\nTotal Credits: 150\n\nMain website: https://muhendislik.neu.edu.tr/?lang=en\nCurriculum link: https://muhendislik.neu.edu.tr/academic/academic-programmes/department-of-automotive-engineering/?lang=en\n\nLegend:\nPS = Problem Solving\nC = Complementary\nR = Reformative\nT = Tutorial\nLAB = Laboratory Hours\nPractical = Practical Hours"", ""role"": ""assistant""}]",Program Information
What courses will I take in first year first semester of Automotive Engineering?,"[{""content"": ""What courses will I take in first year first semester of Automotive Engineering?"", ""role"": ""user""}, {""content"": ""In the first year first semester of Automotive Engineering, you will study:\n\nFirst Year - First Semester (Fall) - Compulsory Courses:\nCHM101, General Chemistry, Credit:4, ECTS:5, Prerequisite: None, Class:3, LAB:2, Practical:0, PS:0, C:2, R:2, T:1\nENG101, English I, Credit:3, ECTS:3, Prerequisite: None, Class:0, LAB:0, Practical:0, PS:0, C:1, R:1, T:1\nMTH101, Mathematics I, Credit:4, ECTS:6, Prerequisite: None, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nECC103, Engineering Drawing I, Credit:3, ECTS:3, Prerequisite: None, Class:2, LAB:0, Practical:2, PS:0, C:1, R:1, T:2\nPHY101, General Physics I, Credit:4, ECTS:6, Prerequisite: None, Class:3, LAB:2, Practical:0, PS:2, C:1, R:1, T:0\nAUE100, Orientation, Credit:0, ECTS:1, Prerequisite: None, Class:2, LAB:0, Practical:0, PS:0, C:1, R:1, T:0\nTUR101/YIT101, Turkish Language I for Turkish Students/Turkish I for Foreign Students, Credit:2, ECTS:2, Prerequisite: None, Class:2, LAB:0, Practical:0, PS:0, C:2, R:0, T:1\n\nTotal Semester: Credit:20, ECTS:26"", ""role"": ""assistant""}]",Course Information
List the first year first semester courses for Automotive Engineering,"[{""content"": ""List the first year first semester courses for Automotive Engineering"", ""role"": ""user""}, {""content"": ""In the first year first semester of Automotive Engineering, you will study:\n\nFirst Year - First Semester (Fall) - Compulsory Courses:\nCHM101, General Chemistry, Credit:4, ECTS:5, Prerequisite: None, Class:3, LAB:2, Practical:0, PS:0, C:2, R:2, T:1\nENG101, English I, Credit:3, ECTS:3, Prerequisite: None, Class:0, LAB:0, Practical:0, PS:0, C:1, R:1, T:1\nMTH101, Mathematics I, Credit:4, ECTS:6, Prerequisite: None, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nECC103, Engineering Drawing I, Credit:3, ECTS:3, Prerequisite: None, Class:2, LAB:0, Practical:2, PS:0, C:1, R:1, T:2\nPHY101, General Physics I, Credit:4, ECTS:6, Prerequisite: None, Class:3, LAB:2, Practical:0, PS:2, C:1, R:1, T:0\nAUE100, Orientation, Credit:0, ECTS:1, Prerequisite: None, Class:2, LAB:0, Practical:0, PS:0, C:1, R:1, T:0\nTUR101/YIT101, Turkish Language I for Turkish Students/Turkish I for Foreign Students, Credit:2, ECTS:2, Prerequisite: None, Class:2, LAB:0, Practical:0, PS:0, C:2, R:0, T:1\n\nTotal Semester: Credit:20, ECTS:26"", ""role"": ""assistant""}]",Curriculum
What courses will I take in first year second semester of Automotive Engineering?,"[{""content"": ""What courses will I take in first year second semester of Automotive Engineering?"", ""role"": ""user""}, {""content"": ""In the first year second semester of Automotive Engineering, you will study:\n\nFirst Year - Second Semester (Spring) - Compulsory Courses:\nECC101, Introduction to Computers and Programming, Credit:3, ECTS:7, Prerequisite: None, Class:4, LAB:1, Practical:0, PS:3, C:1, R:1, T:0\nENG102, English II, Credit:3, ECTS:3, Prerequisite: ENG101, Class:0, LAB:0, Practical:0, PS:0, C:1, R:1, T:1\nMTH102, Mathematics II, Credit:4, ECTS:6, Prerequisite: MTH101, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nECC013, Engineering Drawing II, Credit:3, ECTS:6, Prerequisite: ECC103, Class:2, LAB:0, Practical:2, PS:0, C:1, R:1, T:2\nTUR102/YIT102, Turkish Language II for Turkish Students/Turkish II for Foreign Students, Credit:2, ECTS:2, Prerequisite: TUR101/YIT101, Class:2, LAB:0, Practical:0, PS:0, C:2, R:0, T:1\nPHY102, General Physics II, Credit:4, ECTS:6, Prerequisite: PHY101, Class:3, LAB:2, Practical:0, PS:2, C:1, R:1, T:0\n\nTotal Semester: Credit:19, ECTS:30"", ""role"": ""assistant""}]",Course Information
List the first year second semester courses for Automotive Engineering,"[{""content"": ""List the first year second semester courses for Automotive Engineering"", ""role"": ""user""}, {""content"": ""In the first year second semester of Automotive Engineering, you will study:\n\nFirst Year - Second Semester (Spring) - Compulsory Courses:\nECC101, Introduction to Computers and Programming, Credit:3, ECTS:7, Prerequisite: None, Class:4, LAB:1, Practical:0, PS:3, C:1, R:1, T:0\nENG102, English II, Credit:3, ECTS:3, Prerequisite: ENG101, Class:0, LAB:0, Practical:0, PS:0, C:1, R:1, T:1\nMTH102, Mathematics II, Credit:4, ECTS:6, Prerequisite: MTH101, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nECC013, Engineering Drawing II, Credit:3, ECTS:6, Prerequisite: ECC103, Class:2, LAB:0, Practical:2, PS:0, C:1, R:1, T:2\nTUR102/YIT102, Turkish Language II for Turkish Students/Turkish II for Foreign Students, Credit:2, ECTS:2, Prerequisite: TUR101/YIT101, Class:2, LAB:0, Practical:0, PS:0, C:2, R:0, T:1\nPHY102, General Physics II, Credit:4, ECTS:6, Prerequisite: PHY101, Class:3, LAB:2, Practical:0, PS:2, C:1, R:1, T:0\n\nTotal Semester: Credit:19, ECTS:30"", ""role"": ""assistant""}]",Curriculum
What courses will I take in second year first semester of Automotive Engineering?,"[{""content"": ""What courses will I take in second year first semester of Automotive Engineering?"", ""role"": ""user""}, {""content"": ""In the second year first semester of Automotive Engineering, you will study:\n\nSecond Year - First Semester (Fall) - Compulsory Courses:\nMTH201, Ordinary Differential Equations, Credit:4, ECTS:6, Prerequisite: MTH102, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nECC211, Engineering Materials, Credit:3, ECTS:5, Prerequisite: None, Class:4, LAB:0, Practical:0, PS:1, C:2, R:1, T:0\nECC206, Statics, Credit:3, ECTS:5, Prerequisite: PHY101, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nECC207, Thermodynamics I, Credit:3, ECTS:5, Prerequisite: None, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nAIT101/AIT103, Ataturk's Principles and Reforms for Students I, Credit:2, ECTS:2, Prerequisite: None, Class:2, LAB:0, Practical:0, PS:0, C:2, R:0, T:1\nENG201, English III, Credit:3, ECTS:3, Prerequisite: ENG102, Class:3, LAB:0, Practical:0, PS:0, C:1, R:1, T:1\n\nTotal Semester: Credit:18, ECTS:26"", ""role"": ""assistant""}]",Course Information
List the second year first semester courses for Automotive Engineering,"[{""content"": ""List the second year first semester courses for Automotive Engineering"", ""role"": ""user""}, {""content"": ""In the second year first semester of Automotive Engineering, you will study:\n\nSecond Year - First Semester (Fall) - Compulsory Courses:\nMTH201, Ordinary Differential Equations, Credit:4, ECTS:6, Prerequisite: MTH102, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nECC211, Engineering Materials, Credit:3, ECTS:5, Prerequisite: None, Class:4, LAB:0, Practical:0, PS:1, C:2, R:1, T:0\nECC206, Statics, Credit:3, ECTS:5, Prerequisite: PHY101, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nECC207, Thermodynamics I, Credit:3, ECTS:5, Prerequisite: None, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nAIT101/AIT103, Ataturk's Principles and Reforms for Students I, Credit:2, ECTS:2, Prerequisite: None, Class:2, LAB:0, Practical:0, PS:0, C:2, R:0, T:1\nENG201, English III, Credit:3, ECTS:3, Prerequisite: ENG102, Class:3, LAB:0, Practical:0, PS:0, C:1, R:1, T:1\n\nTotal Semester: Credit:18, ECTS:26"", ""role"": ""assistant""}]",Curriculum
What courses will I take in second year second semester of Automotive Engineering?,"[{""content"": ""What courses will I take in second year second semester of Automotive Engineering?"", ""role"": ""user""}, {""content"": ""In the second year second semester of Automotive Engineering, you will study:\n\nSecond Year - Second Semester (Spring) - Compulsory Courses:\nAUE205, Basic Electricity & Electronics, Credit:3, ECTS:5, Prerequisite: PHY102, Class:3, LAB:0, Practical:0, PS:2, C:1, R:0, T:0\nMTH214, Mathematics for Engineers, Credit:3, ECTS:5, Prerequisite: MTH101, Class:3, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nECC209, Manufacturing Technology I, Credit:3, ECTS:4, Prerequisite: None, Class:4, LAB:0, Practical:2, PS:2, C:2, R:0, T:2\nECC212, Dynamics, Credit:3, ECTS:4, Prerequisite: PHY101, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nECC208, Thermodynamics II, Credit:3, ECTS:5, Prerequisite: ECC207, Class:3, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nECC213, Strength of Materials I, Credit:3, ECTS:4, Prerequisite: ECC206, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nAIT102/AIT104, Ataturk's Principles and Reforms for Students II, Credit:2, ECTS:2, Prerequisite: AIT101/AIT103, Class:2, LAB:0, Practical:0, PS:0, C:2, R:0, T:1\nAUE200, Workshop Training (2 Weeks), Credit:0, ECTS:1, Prerequisite: None, Class:0, LAB:0, Practical:0, PS:0, C:0, R:0, T:0\n\nTotal Semester: Credit:20, ECTS:30"", ""role"": ""assistant""}]",Course Information
List the second year second semester courses for Automotive Engineering,"[{""content"": ""List the second year second semester courses for Automotive Engineering"", ""role"": ""user""}, {""content"": ""In the second year second semester of Automotive Engineering, you will study:\n\nSecond Year - Second Semester (Spring) - Compulsory Courses:\nAUE205, Basic Electricity & Electronics, Credit:3, ECTS:5, Prerequisite: PHY102, Class:3, LAB:0, Practical:0, PS:2, C:1, R:0, T:0\nMTH214, Mathematics for Engineers, Credit:3, ECTS:5, Prerequisite: MTH101, Class:3, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nECC209, Manufacturing Technology I, Credit:3, ECTS:4, Prerequisite: None, Class:4, LAB:0, Practical:2, PS:2, C:2, R:0, T:2\nECC212, Dynamics, Credit:3, ECTS:4, Prerequisite: PHY101, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nECC208, Thermodynamics II, Credit:3, ECTS:5, Prerequisite: ECC207, Class:3, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nECC213, Strength of Materials I, Credit:3, ECTS:4, Prerequisite: ECC206, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nAIT102/AIT104, Ataturk's Principles and Reforms for Students II, Credit:2, ECTS:2, Prerequisite: AIT101/AIT103, Class:2, LAB:0, Practical:0, PS:0, C:2, R:0, T:1\nAUE200, Workshop Training (2 Weeks), Credit:0, ECTS:1, Prerequisite: None, Class:0, LAB:0, Practical:0, PS:0, C:0, R:0, T:0\n\nTotal Semester: Credit:20, ECTS:30"", ""role"": ""assistant""}]",Curriculum
What courses will I take in third year first semester of Automotive Engineering?,"[{""content"": ""What courses will I take in third year first semester of Automotive Engineering?"", ""role"": ""user""}, {""content"": ""In the third year first semester of Automotive Engineering, you will study:\n\nThird Year - First Semester (Fall) - Compulsory Courses:\nECC304, Fluid Mechanics I, Credit:4, ECTS:7, Prerequisite: ECC212, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nECC307, Machine Design I, Credit:4, ECTS:6, Prerequisite: ECC213, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nAUE305, Introduction to Automotive Engineering, Credit:3, ECTS:6, Prerequisite: None, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nECC305, Manufacturing Technology II, Credit:3, ECTS:5, Prerequisite: ECC209, Class:4, LAB:0, Practical:2, PS:3, C:2, R:1, T:0\nECC306, Heat Transfer I, Credit:3, ECTS:6, Prerequisite: ECC207, Class:4, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\n\nTotal Semester: Credit:17, ECTS:30"", ""role"": ""assistant""}]",Course Information
